,Degree,Clustering_coefficient,Eigenvector_centrality,Mean_degree_NN,Topic
0,0,0.0,1.1825831598381542e-41,0.0,Computational Physics
1,13,0.2948717948717949,9.443385740815302e-05,60.15384615384615,Computational Physics
2,6,0.4,1.0156643191009206e-05,18.166666666666668,Computational Physics
3,64,0.36259920634920634,0.004077837664186935,98.3125,Computational Physics
4,6,0.6,9.759556695075767e-05,44.166666666666664,Computational Physics
5,42,0.2229965156794425,0.000667521116962366,42.023809523809526,Computational Physics
6,3,0.3333333333333333,5.51903832533666e-05,51.666666666666664,Space Physics
7,2,0.0,6.217469135080167e-07,3.5,History and Philosophy of Physics
8,1,0.0,3.100070798526131e-36,1.0,Physics and Society
9,6,0.5333333333333333,3.1817837639241013e-05,13.166666666666666,Physics and Society
10,18,0.43137254901960786,0.0003394571785156758,79.72222222222223,Physics and Society
11,5,0.4,2.7089289973506687e-05,16.8,Physics and Society
12,64,0.5178571428571429,0.014637051795903785,233.40625,Fluid Dynamics
13,93,0.3536699392239364,0.025577157271276428,267.39784946236557,"Data Analysis, Statistics and Probability"
14,0,0.0,1.1825831598381542e-41,0.0,Physics and Society
15,32,0.2701612903225806,0.0008882843736320084,49.03125,Accelerator Physics
16,19,0.4619883040935672,0.0019654221369695304,120.42105263157895,Fluid Dynamics
17,6,0.7333333333333333,2.2269882705789754e-06,22.666666666666668,Atmospheric and Oceanic Physics
18,9,0.7222222222222222,0.000505887014419511,83.22222222222223,Fluid Dynamics
19,1,0.0,3.983906946637332e-05,91.0,Physics and Society
20,9,0.3333333333333333,0.0015821186663562924,256.1111111111111,Medical Physics
21,2,0.0,1.6121862812072785e-05,27.0,Instrumentation and Detectors
22,68,0.3388937664618086,0.00043777106292028546,39.705882352941174,Physics and Society
23,2,1.0,2.2671004646942787e-05,39.0,Computational Physics
24,8,0.14285714285714285,4.434549765665759e-06,10.125,Medical Physics
25,48,0.2703900709219858,0.0046972123147313305,163.58333333333334,Geophysics
26,5,0.1,7.938652138090426e-06,19.8,Optics
27,54,0.5150244584206848,0.000275811888665288,59.074074074074076,Optics
28,148,0.10250045964331679,0.012683808434796594,117.72972972972973,Optics
29,9,0.5277777777777778,5.145561584658194e-05,25.22222222222222,Biological Physics
30,14,0.6703296703296703,8.536870776587259e-05,63.357142857142854,Optics
31,62,0.26652564780539395,0.008683707060550806,152.79032258064515,Plasma Physics
32,1,0.0,4.881428817006468e-05,62.0,Fluid Dynamics
33,10,0.3333333333333333,0.0008624634677001024,79.3,Classical Physics
34,21,0.1619047619047619,0.0002824557273910535,29.952380952380953,Optics
35,21,0.48095238095238096,0.006254059041299569,351.76190476190476,Plasma Physics
36,18,0.12418300653594772,0.00014121120592720096,53.27777777777778,Optics
37,1,0.0,1.0127343173773127e-05,57.0,Fluid Dynamics
38,26,0.4676923076923077,0.0030211504500589443,175.84615384615384,Optics
39,11,0.18181818181818182,0.00010682654069707538,49.63636363636363,Computational Physics
40,40,0.16282051282051282,0.00015847231891230878,41.725,Computational Physics
41,10,0.2222222222222222,2.43427754729829e-05,23.5,Optics
42,3,0.3333333333333333,0.00013694683413854316,108.66666666666667,Physics Education
43,38,0.18349928876244664,0.0005619313837920409,41.21052631578947,Fluid Dynamics
44,6,0.13333333333333333,1.1368720548346763e-05,24.666666666666668,Medical Physics
45,2,1.0,2.662443262100177e-06,21.5,Biological Physics
46,8,0.03571428571428571,6.819306008127195e-05,20.875,Applied Physics
47,31,0.3225806451612903,0.003545390723714554,154.19354838709677,Plasma Physics
48,36,0.2015873015873016,0.0015566015704632464,91.55555555555556,Medical Physics
49,3,1.0,1.2700433692974947e-05,22.0,Space Physics
50,8,0.5714285714285714,9.28730013075403e-06,13.5,Instrumentation and Detectors
51,7,0.19047619047619047,0.00017950024429125682,32.57142857142857,Plasma Physics
52,5,0.1,0.001049394902675209,293.6,Optics
53,2,0.0,1.3889288294672122e-05,9.5,Optics
54,39,0.33873144399460187,0.0077731376663771725,226.0,Computational Physics
55,106,0.13081761006289308,0.0010296416767965528,68.63207547169812,Optics
56,39,0.38866396761133604,0.00090157742557477,77.12820512820512,Accelerator Physics
57,16,0.2916666666666667,0.00038556003555613997,66.0625,Geophysics
58,3,1.0,6.895377317380377e-07,18.0,Optics
59,17,0.36764705882352944,3.110231905760151e-05,16.941176470588236,Fluid Dynamics
60,13,0.20512820512820512,6.0955364987128054e-05,43.61538461538461,Optics
61,11,0.36363636363636365,6.344683031107886e-05,68.72727272727273,Optics
62,24,0.15942028985507245,0.0005892471360729383,39.958333333333336,Optics
63,13,0.2564102564102564,0.000590770588747508,69.46153846153847,Fluid Dynamics
64,1,0.0,4.3887341396086146e-08,6.0,Applied Physics
65,54,0.15373864430468204,0.002188346710462061,97.48148148148148,Optics
66,12,0.16666666666666666,0.0007876123443176664,135.75,Applied Physics
67,89,0.20658835546475995,0.012438278405139768,137.4943820224719,Computational Physics
68,34,0.25133689839572193,0.00011973740716791917,44.14705882352941,Optics
69,19,0.3216374269005848,0.000634859761749389,55.63157894736842,Applied Physics
70,61,0.27377049180327867,0.005785097018478542,143.9672131147541,Fluid Dynamics
71,55,0.17104377104377105,0.0007767852575586439,55.981818181818184,Medical Physics
72,21,0.3380952380952381,0.002132897964793905,113.0,Fluid Dynamics
73,5,0.2,2.685485405156711e-06,6.6,Chemical Physics
74,15,0.3238095238095238,8.854402457949142e-05,32.93333333333333,Optics
75,46,0.21256038647342995,0.002882526106413086,96.52173913043478,Fluid Dynamics
76,11,0.16363636363636364,0.00011274971377405172,54.09090909090909,Optics
77,39,0.14709851551956815,0.0038649178120405024,123.66666666666667,Instrumentation and Detectors
78,5,0.4,6.977829473166664e-05,19.4,Fluid Dynamics
79,26,0.9261538461538461,0.0002678670744671285,74.23076923076923,Instrumentation and Detectors
80,111,0.32727272727272727,0.007461657077610507,134.23423423423424,Plasma Physics
81,7,0.6190476190476191,0.00032619235968198845,61.142857142857146,Plasma Physics
82,43,0.2248062015503876,0.002140649840952421,87.48837209302326,Fluid Dynamics
83,28,0.31216931216931215,3.0763637235481684e-05,27.928571428571427,Optics
84,1,0.0,1.1917660507008346e-08,2.0,Physics Education
85,94,0.26744452070464425,0.001456992108849325,83.98936170212765,Optics
86,0,0.0,1.1825831598381542e-41,0.0,Medical Physics
87,207,0.2013507809202195,0.025573892980423566,129.68115942028984,Fluid Dynamics
88,2,0.0,1.2372378476519137e-07,5.0,Geophysics
89,7,0.42857142857142855,0.00015371647796081183,46.714285714285715,Classical Physics
90,99,0.20841063698206555,0.004638454729571963,93.23232323232324,Instrumentation and Detectors
91,28,0.4021164021164021,0.00013709473833812397,32.07142857142857,Applied Physics
92,5,0.4,4.525935390766787e-05,36.8,Plasma Physics
93,4,0.3333333333333333,1.4983103428361612e-07,13.25,Physics and Society
94,18,0.5816993464052288,2.6335554239438145e-05,29.88888888888889,Medical Physics
95,12,0.5454545454545454,0.0010049133780877764,150.66666666666666,Fluid Dynamics
96,89,0.09780388151174668,0.008946697282723091,133.19101123595505,Instrumentation and Detectors
